\usepackage{ulem}date,isin,ticker,name,open,high,low,close,volume
2021-03-11,XX0000000515,3M,3M,226.7654,235.0836,224.0257,233.2358,2427821
2021-03-12,XX0000000515,3M,3M,235.6932,238.3264,235.4323,236.4609,3580728
2021-03-15,XX0000000515,3M,3M,236.885,239.9958,236.488,237.8047,3216052
2021-03-16,XX0000000515,3M,3M,238.7807,239.3086,234.1204,237.7158,2166129
2021-03-17,XX0000000515,3M,3M,237.9342,239.8932,236.2063,238.7307,2807750
2021-03-18,XX0000000515,3M,3M,239.1861,240.7984,232.9361,234.5522,3960864
2021-03-19,XX0000000515,3M,3M,233.8827,241.1753,231.8371,239.313,2832759
2021-03-22,XX0000000515,3M,3M,237.9814,243.3937,236.8631,242.4002,2992557
2021-03-23,XX0000000515,3M,3M,242.0668,242.6305,236.1462,236.604,3060511
2021-03-24,XX0000000515,3M,3M,234.7342,238.0885,233.262,237.0194,3358756
2021-03-25,XX0000000515,3M,3M,237.0604,237.9953,231.9174,235.9043,2269875
2021-03-26,XX0000000515,3M,3M,236.4252,237.9682,236.118,236.8244,4953389
2021-03-29,XX0000000515,3M,3M,236.7272,239.7093,233.1795,237.7158,3018590
2021-03-30,XX0000000515,3M,3M,237.0331,241.2576,233.2072,236.1202,3528695
2021-03-31,XX0000000515,3M,3M,235.1107,238.9308,234.3028,238.1952,3326676
2021-04-01,XX0000000515,3M,3M,241.0641,242.647,238.6459,240.8558,3505622
2021-04-02,XX0000000515,3M,3M,240.2032,242.7483,235.825,237.7246,3276566
2021-04-05,XX0000000515,3M,3M,238.0065,243.8056,237.8734,240.7943,3969090
2021-04-06,XX0000000515,3M,3M,239.0084,242.5028,237.1997,241.3969,3452913
2021-04-07,XX0000000515,3M,3M,240.0725,248.6985,236.8254,245.3146,3900508
2021-04-08,XX0000000515,3M,3M,246.7937,248.4356,243.9747,245.7547,3279486
2021-04-09,XX0000000515,3M,3M,244.9216,249.6461,240.5301,249.3417,3824184
2021-04-12,XX0000000515,3M,3M,248.4004,254.6827,245.593,254.0114,4227585
2021-04-13,XX0000000515,3M,3M,253.8255,254.9342,252.769,254.1801,3477134
2021-04-14,XX0000000515,3M,3M,256.0785,257.2779,252.8652,256.7579,2697678
2021-04-15,XX0000000515,3M,3M,256.885,261.3232,254.0118,254.3312,3218382
2021-04-16,XX0000000515,3M,3M,256.1428,257.7925,255.4443,256.7635,2452829
2021-04-19,XX0000000515,3M,3M,255.7768,256.2148,254.4334,255.9864,3040355
2021-04-20,XX0000000515,3M,3M,255.7418,262.4034,255.2632,260.6929,3453903
2021-04-21,XX0000000515,3M,3M,261.3724,263.1457,254.3139,255.2676,3845386
2021-04-22,XX0000000515,3M,3M,255.7786,257.5904,250.6432,254.522,3134000
2021-04-23,XX0000000515,3M,3M,255.8287,259.2614,254.6444,256.9848,4370387
2021-04-26,XX0000000515,3M,3M,258.8759,258.9178,251.8903,256.6554,4208530
2021-04-27,XX0000000515,3M,3M,256.0345,263.073,254.1803,262.7411,3026888
2021-04-28,XX0000000515,3M,3M,264.5099,266.8344,264.1449,266.7089,3445645
2021-04-29,XX0000000515,3M,3M,267.208,269.8895,265.2028,266.8627,2418822
2021-04-30,XX0000000515,3M,3M,267.0202,272.7085,266.5549,268.4359,4644631
2021-05-03,XX0000000515,3M,3M,268.7119,274.7225,264.5203,273.4099,2582348
2021-05-04,XX0000000515,3M,3M,272.9391,284.719,272.3458,278.3877,2071046
2021-05-05,XX0000000515,3M,3M,278.7659,281.4594,274.6476,279.5698,2636815
2021-05-06,XX0000000515,3M,3M,277.6104,281.5933,275.5562,281.0224,3460113
2021-05-07,XX0000000515,3M,3M,279.4719,286.7299,278.3563,285.2953,2009606
2021-05-10,XX0000000515,3M,3M,285.3716,291.6426,285.2843,290.3683,2083034
2021-05-11,XX0000000515,3M,3M,288.6391,291.6226,287.8971,291.4876,4056402
2021-05-12,XX0000000515,3M,3M,293.1945,296.5675,287.677,290.7625,2074288
2021-05-13,XX0000000515,3M,3M,290.0569,300.0329,284.4056,298.0589,3434012
2021-05-14,XX0000000515,3M,3M,297.2954,307.7232,291.5774,302.7462,3176361
2021-05-17,XX0000000515,3M,3M,303.1749,310.9299,302.9264,309.8272,3674200
2021-05-18,XX0000000515,3M,3M,312.1257,314.7843,304.6734,309.0154,2983264
2021-05-19,XX0000000515,3M,3M,310.7447,312.1644,303.1823,306.9321,3376966
2021-05-20,XX0000000515,3M,3M,304.5225,308.4923,302.7607,308.355,3571565
2021-05-21,XX0000000515,3M,3M,311.5901,313.2285,303.7112,303.7584,3260060
2021-05-24,XX0000000515,3M,3M,306.3677,312.7316,301.3015,309.1698,3280758
2021-05-25,XX0000000515,3M,3M,310.815,313.123,301.6022,306.3621,4517906
2021-05-26,XX0000000515,3M,3M,304.2987,314.2251,301.6931,307.2021,2255978
2021-05-27,XX0000000515,3M,3M,308.2511,317.235,308.0397,315.2294,2294752
2021-05-28,XX0000000515,3M,3M,316.4765,320.0427,312.106,314.7357,1412273
2021-05-31,XX0000000515,3M,3M,313.7032,315.1437,312.482,314.6073,2391007
2021-06-01,XX0000000515,3M,3M,312.1963,317.4839,306.8209,316.5318,3253124
2021-06-02,XX0000000515,3M,3M,317.084,323.153,314.3488,321.4104,4607605
2021-06-03,XX0000000515,3M,3M,321.4388,326.0504,315.3414,323.9667,1799348
2021-06-04,XX0000000515,3M,3M,323.4767,329.6739,320.1303,322.6235,3735201
2021-06-07,XX0000000515,3M,3M,322.1514,329.2247,313.7289,324.1848,3649252
2021-06-08,XX0000000515,3M,3M,323.9258,326.303,320.643,324.2685,5137284
2021-06-09,XX0000000515,3M,3M,324.8787,326.9167,322.5078,323.9875,2478105
2021-06-10,XX0000000515,3M,3M,322.7842,329.751,317.4617,328.239,3490455
2021-06-11,XX0000000515,3M,3M,328.8632,339.379,325.7477,337.2895,2884794
2021-06-14,XX0000000515,3M,3M,337.4562,345.6953,329.8077,343.6404,3974941
2021-06-15,XX0000000515,3M,3M,342.323,351.3625,340.5881,349.4536,3043926
2021-06-16,XX0000000515,3M,3M,348.996,353.5321,340.7204,344.3086,4704685
2021-06-17,XX0000000515,3M,3M,342.3619,351.9828,335.2039,349.9864,3535003
2021-06-18,XX0000000515,3M,3M,350.0857,355.2153,342.5479,349.5102,2906921
2021-06-21,XX0000000515,3M,3M,350.5854,353.1734,346.8421,349.0746,2126389
2021-06-22,XX0000000515,3M,3M,347.207,350.142,344.9447,349.5974,2495623
2021-06-23,XX0000000515,3M,3M,349.6039,358.579,348.675,353.4913,2443949
2021-06-24,XX0000000515,3M,3M,351.8686,359.2094,349.5302,357.479,4194518
2021-06-25,XX0000000515,3M,3M,358.8312,365.078,358.3842,361.2509,3055145
2021-06-28,XX0000000515,3M,3M,361.5871,368.8801,359.545,365.4499,4918339
2021-06-29,XX0000000515,3M,3M,364.6554,366.5821,358.2199,364.3416,3248067
2021-06-30,XX0000000515,3M,3M,363.46,373.0821,360.9613,372.8489,2586436
2021-07-01,XX0000000515,3M,3M,371.2125,376.7001,368.8907,373.004,2432030
2021-07-02,XX0000000515,3M,3M,371.7243,381.3633,365.6858,376.4647,3103957
2021-07-05,XX0000000515,3M,3M,371.6379,376.1585,370.7789,373.6901,4355430
2021-07-06,XX0000000515,3M,3M,374.0403,377.0317,364.7399,370.6202,2691150
2021-07-07,XX0000000515,3M,3M,371.3567,372.7641,369.2282,369.8934,3045058
2021-07-08,XX0000000515,3M,3M,370.7926,374.8656,370.6328,374.536,2257486
2021-07-09,XX0000000515,3M,3M,373.9764,381.2242,367.1679,374.0601,3162087
2021-07-12,XX0000000515,3M,3M,374.4822,388.529,372.3282,385.7769,3034543
2021-07-13,XX0000000515,3M,3M,385.9047,392.6684,379.5568,389.9407,2612565
2021-07-14,XX0000000515,3M,3M,390.1395,393.5903,387.1311,387.3903,3058512
2021-07-15,XX0000000515,3M,3M,388.1434,400.6481,382.8359,399.472,3609979
2021-07-16,XX0000000515,3M,3M,398.4396,408.4364,397.1744,402.644,3757810
2021-07-19,XX0000000515,3M,3M,402.6768,405.1667,394.4242,394.4262,4553151
2021-07-20,XX0000000515,3M,3M,393.8016,400.1437,391.4834,394.2652,4506827
2021-07-21,XX0000000515,3M,3M,394.419,407.1357,394.2502,399.1486,3176236
2021-07-22,XX0000000515,3M,3M,397.5215,400.5937,393.5639,396.812,2720322
2021-07-23,XX0000000515,3M,3M,400.6816,406.5997,400.1489,401.4565,2439636
2021-07-26,XX0000000515,3M,3M,402.1465,403.6498,393.9637,396.133,1513252
2021-07-27,XX0000000515,3M,3M,395.0981,399.0666,391.466,392.8095,5238786
2021-07-28,XX0000000515,3M,3M,390.8562,410.8458,390.7303,406.0874,4021142
2021-07-29,XX0000000515,3M,3M,405.0918,405.1095,401.6474,404.5763,2578212
2021-07-30,XX0000000515,3M,3M,405.2972,417.9315,400.4847,414.2835,3366445
2021-08-02,XX0000000515,3M,3M,415.4066,424.535,413.8035,419.2163,2168241
2021-08-03,XX0000000515,3M,3M,419.1883,426.7942,414.1742,424.3992,5135763
2021-08-04,XX0000000515,3M,3M,427.3942,428.961,420.2291,421.9076,3371663
2021-08-05,XX0000000515,3M,3M,425.5799,426.1466,422.4379,425.9864,2789798
2021-08-06,XX0000000515,3M,3M,423.7912,427.6035,422.1358,426.0969,4316060
2021-08-09,XX0000000515,3M,3M,424.7463,427.5212,415.1653,422.4129,2531872
2021-08-10,XX0000000515,3M,3M,419.206,421.2964,415.9102,419.3685,2486676
2021-08-11,XX0000000515,3M,3M,418.9663,419.391,412.4079,414.0558,2669421
2021-08-12,XX0000000515,3M,3M,412.187,425.3899,410.7319,423.0612,5331528
2021-08-13,XX0000000515,3M,3M,422.1869,427.4385,421.4565,426.1168,3491802
2021-08-16,XX0000000515,3M,3M,428.194,430.9034,415.8385,421.6667,4382854
2021-08-17,XX0000000515,3M,3M,420.6292,423.5171,417.0724,420.1442,2944905
2021-08-18,XX0000000515,3M,3M,417.7751,431.1583,409.1231,427.2335,4626336
2021-08-19,XX0000000515,3M,3M,424.8827,431.8223,420.6631,431.7045,6851557
2021-08-20,XX0000000515,3M,3M,429.1634,432.4862,414.3542,417.0853,3729325
2021-08-23,XX0000000515,3M,3M,419.0222,425.0795,409.751,412.9552,1405831
2021-08-24,XX0000000515,3M,3M,412.9213,415.6515,410.9579,414.0903,3235231
2021-08-25,XX0000000515,3M,3M,415.4729,416.1684,403.296,404.747,4708518
2021-08-26,XX0000000515,3M,3M,404.2068,404.759,390.9241,396.2463,2376068
2021-08-27,XX0000000515,3M,3M,395.9268,408.1644,390.2231,402.8154,3155647
2021-08-30,XX0000000515,3M,3M,401.7983,410.2634,397.9276,408.7503,6716832
2021-08-31,XX0000000515,3M,3M,407.4323,408.8329,407.2825,408.1649,2936710
2021-09-01,XX0000000515,3M,3M,409.2458,414.7687,408.4988,411.9119,4359511
2021-09-02,XX0000000515,3M,3M,412.0352,416.2939,405.8288,415.9407,5570477
2021-09-03,XX0000000515,3M,3M,411.7935,418.4572,411.027,412.2369,3033320
2021-09-06,XX0000000515,3M,3M,412.856,414.975,407.2885,410.0591,4519796
2021-09-07,XX0000000515,3M,3M,411.9707,414.1397,405.829,406.9976,1764799
2021-09-08,XX0000000515,3M,3M,405.8654,411.4952,401.8072,407.3694,4665529
2021-09-09,XX0000000515,3M,3M,410.3232,411.9486,400.1948,402.3488,3003488
2021-09-10,XX0000000515,3M,3M,401.0141,409.5392,398.2536,409.0862,3083908
2021-09-13,XX0000000515,3M,3M,410.0191,414.9715,407.5965,412.6701,3538355
2021-09-14,XX0000000515,3M,3M,413.8359,414.0286,407.6179,413.0298,3839283
2021-09-15,XX0000000515,3M,3M,412.8438,413.6443,405.4108,410.5901,3065979
2021-09-16,XX0000000515,3M,3M,411.6849,414.3448,410.1504,412.2761,4132577
2021-09-17,XX0000000515,3M,3M,414.0922,414.4629,403.6787,409.2764,4920105
2021-09-20,XX0000000515,3M,3M,408.3879,411.295,394.2911,404.9088,5088017
2021-09-21,XX0000000515,3M,3M,402.0077,403.1165,395.6563,396.4215,3128326
2021-09-22,XX0000000515,3M,3M,396.0162,413.44,394.2006,408.145,3368893
2021-09-23,XX0000000515,3M,3M,408.7732,418.2242,408.2195,413.6994,2398504
2021-09-24,XX0000000515,3M,3M,411.5231,416.7282,407.1058,413.2857,4942138
2021-09-27,XX0000000515,3M,3M,414.8683,415.5062,411.9646,414.8704,2776072
2021-09-28,XX0000000515,3M,3M,414.0984,429.8958,410.9978,424.5998,2055129
2021-09-29,XX0000000515,3M,3M,423.8717,429.9915,420.3765,421.6734,2672114
2021-09-30,XX0000000515,3M,3M,419.9738,423.4768,419.6837,423.3372,2807651
2021-10-01,XX0000000515,3M,3M,423.6676,425.9538,418.1425,422.2827,2331888
2021-10-04,XX0000000515,3M,3M,423.9697,425.5126,419.7184,424.9206,5253048
2021-10-05,XX0000000515,3M,3M,423.2614,430.5302,418.2003,421.1287,4477426
2021-10-06,XX0000000515,3M,3M,421.3545,424.3062,408.7625,413.7305,3513883
2021-10-07,XX0000000515,3M,3M,413.4264,414.874,400.0673,404.7613,2513002
2021-10-08,XX0000000515,3M,3M,403.1751,417.0904,401.353,412.5089,4688388
2021-10-11,XX0000000515,3M,3M,411.843,421.4187,408.1899,417.0905,4146867
2021-10-12,XX0000000515,3M,3M,417.6187,428.8581,414.7375,424.9307,3546374
2021-10-13,XX0000000515,3M,3M,423.1259,425.7427,411.3314,414.3408,5186136
2021-10-14,XX0000000515,3M,3M,415.8171,423.5181,411.3512,411.8496,4583357
2021-10-15,XX0000000515,3M,3M,409.0946,418.7837,401.9934,413.3174,4265946
2021-10-18,XX0000000515,3M,3M,411.3755,415.6625,396.0206,404.1804,3348016
2021-10-19,XX0000000515,3M,3M,404.158,417.3524,396.7767,415.5734,3038701
2021-10-20,XX0000000515,3M,3M,419.0879,422.0329,404.0273,406.9834,3735545
2021-10-21,XX0000000515,3M,3M,404.7704,411.3561,398.8026,407.8786,5727760
2021-10-22,XX0000000515,3M,3M,409.1197,416.289,407.3988,408.5411,2734691
2021-10-25,XX0000000515,3M,3M,407.9636,410.8635,395.9762,401.6205,4881576
2021-10-26,XX0000000515,3M,3M,401.9244,412.3312,398.9617,410.5931,3996215
2021-10-27,XX0000000515,3M,3M,412.9557,417.7067,407.1578,412.1754,2196926
2021-10-28,XX0000000515,3M,3M,413.2463,415.8534,402.0726,410.6502,2558377
2021-10-29,XX0000000515,3M,3M,411.7219,414.6663,409.6992,414.315,2619381
2021-11-01,XX0000000515,3M,3M,415.2732,420.683,413.5417,420.186,4454621
2021-11-02,XX0000000515,3M,3M,417.7903,420.6458,416.8004,417.7674,2620773
2021-11-03,XX0000000515,3M,3M,417.4963,427.2859,413.7235,426.835,3405090
2021-11-04,XX0000000515,3M,3M,427.7769,431.2726,420.5257,424.3147,4366668
2021-11-05,XX0000000515,3M,3M,428.0069,431.8318,424.6886,428.115,3202012
2021-11-08,XX0000000515,3M,3M,428.043,431.9131,427.4629,430.9531,2788563
2021-11-09,XX0000000515,3M,3M,434.743,444.1572,432.5962,440.3271,4280526
2021-11-10,XX0000000515,3M,3M,441.7028,443.8603,436.5711,441.7892,5605474
2021-11-11,XX0000000515,3M,3M,440.8624,441.2688,430.6163,436.0459,3860101
2021-11-12,XX0000000515,3M,3M,439.112,440.4799,429.659,432.498,3404242
2021-11-15,XX0000000515,3M,3M,428.6983,439.5264,427.3053,437.1433,2961824
2021-11-16,XX0000000515,3M,3M,434.2946,438.6894,433.3794,437.1942,3483996
2021-11-17,XX0000000515,3M,3M,437.0644,438.0814,436.7588,437.9693,3044787
2021-11-18,XX0000000515,3M,3M,434.6665,444.0954,433.1757,439.3447,1918751
2021-11-19,XX0000000515,3M,3M,443.1906,448.4666,440.0993,447.7571,3746474
2021-11-22,XX0000000515,3M,3M,449.6859,460.1595,445.0705,455.778,2742392
2021-11-23,XX0000000515,3M,3M,458.1413,464.3995,443.5173,445.271,5126342
2021-11-24,XX0000000515,3M,3M,450.7725,460.6909,445.4516,456.6298,5433162
2021-11-25,XX0000000515,3M,3M,458.0331,462.9099,448.9202,451.8783,2933609
2021-11-26,XX0000000515,3M,3M,453.3776,461.4428,442.9367,447.3129,2815689
2021-11-29,XX0000000515,3M,3M,443.8846,460.39,437.9359,456.1894,2745062
2021-11-30,XX0000000515,3M,3M,457.0694,458.004,448.0446,453.2173,1756130
2021-12-01,XX0000000515,3M,3M,453.0708,463.2692,450.9973,451.3909,3209135
2021-12-02,XX0000000515,3M,3M,445.7608,452.8554,439.5949,449.8212,4170697
2021-12-03,XX0000000515,3M,3M,448.2397,464.551,444.4544,460.6783,3594487
2021-12-06,XX0000000515,3M,3M,456.2274,464.3003,455.5126,460.896,2255988
2021-12-07,XX0000000515,3M,3M,459.3527,462.6603,447.828,461.9099,2153920
2021-12-08,XX0000000515,3M,3M,460.0616,466.8743,453.8391,463.6649,2241851
2021-12-09,XX0000000515,3M,3M,460.2607,483.1659,457.9892,474.9062,3236982
2021-12-10,XX0000000515,3M,3M,478.1553,483.4898,466.6699,479.3572,3383753
2021-12-13,XX0000000515,3M,3M,480.7505,489.9335,479.6578,486.3584,3621461
2021-12-14,XX0000000515,3M,3M,485.995,498.492,485.7776,491.7459,6737141
2021-12-15,XX0000000515,3M,3M,489.4232,500.9333,488.1289,499.861,2902725
2021-12-16,XX0000000515,3M,3M,498.6625,511.7335,496.6549,503.7546,2781985
2021-12-17,XX0000000515,3M,3M,502.3161,517.8673,501.7501,511.935,2195121
2021-12-20,XX0000000515,3M,3M,512.2064,513.1497,503.4056,511.2407,2570017
2021-12-21,XX0000000515,3M,3M,510.4026,518.6023,509.438,513.7503,5127471
2021-12-22,XX0000000515,3M,3M,517.1318,517.658,499.3408,503.8849,2554574
2021-12-23,XX0000000515,3M,3M,504.5827,509.6858,502.2961,508.2323,3028553
2021-12-24,XX0000000515,3M,3M,513.0464,517.2847,505.4131,507.8082,4466209
2021-12-27,XX0000000515,3M,3M,508.5775,510.145,503.087,504.8674,3138466
2021-12-28,XX0000000515,3M,3M,502.3775,513.7597,497.1445,508.5889,2950132
2021-12-29,XX0000000515,3M,3M,506.7532,517.0594,502.8355,516.9169,2704755
2021-12-30,XX0000000515,3M,3M,518.0189,526.0181,510.405,525.9609,3380153
2021-12-31,XX0000000515,3M,3M,525.508,534.9744,524.8379,528.6685,3445236
2021-01-01,XX0000000127,AMD,AMD,275.6801,277.3631,273.5237,274.1982,10510845
2021-01-04,XX0000000127,AMD,AMD,273.823,283.4521,271.5471,283.0934,13073321
2021-01-05,XX0000000127,AMD,AMD,282.2495,293.7057,278.3629,290.337,3109360
2021-01-06,XX0000000127,AMD,AMD,288.8067,292.5797,284.9834,291.1005,7536002
2021-01-07,XX0000000127,AMD,AMD,291.868,303.412,290.57,301.0749,16675029
2021-01-08,XX0000000127,AMD,AMD,301.9911,310.9364,298.2502,308.731,12040324
2021-01-11,XX0000000127,AMD,AMD,308.1096,312.7851,305.9749,309.6339,16040309
2021-01-12,XX0000000127,AMD,AMD,309.2717,314.1373,296.2437,296.8595,10702555
2021-01-13,XX0000000127,AMD,AMD,295.7813,299.2823,290.5624,297.2459,9736811
2021-01-14,XX0000000127,AMD,AMD,298.5554,305.7133,295.9524,301.8845,13689348
2021-01-15,XX0000000127,AMD,AMD,303.8671,308.4234,299.1623,304.3157,5937518
2021-01-18,XX0000000127,AMD,AMD,304.9819,319.3439,304.0308,317.2893,10079630
2021-01-19,XX0000000127,AMD,AMD,315.2478,315.3719,301.9948,305.7388,7671034
2021-01-20,XX0000000127,AMD,AMD,305.5416,305.8003,297.4247,300.0338,8965232
2021-01-21,XX0000000127,AMD,AMD,299.1522,300.6972,295.7917,298.0925,5958787
2021-01-22,XX0000000127,AMD,AMD,299.7921,302.2818,290.6466,291.0697,11291452
2021-01-25,XX0000000127,AMD,AMD,292.2027,296.6449,279.5269,280.3828,15888551
2021-01-26,XX0000000127,AMD,AMD,279.5241,279.613,271.8395,274.2601,8193901
2021-01-27,XX0000000127,AMD,AMD,274.2055,284.0353,273.9649,279.6248,8189637
2021-01-28,XX0000000127,AMD,AMD,280.8347,284.2387,276.1628,278.8628,11047222
2021-01-29,XX0000000127,AMD,AMD,277.1259,280.0726,274.4433,278.9022,5991829
2021-02-01,XX0000000127,AMD,AMD,279.602,283.3039,277.7302,282.1342,14628754
2021-02-02,XX0000000127,AMD,AMD,282.9717,297.8419,279.2447,294.3975,8477541
2021-02-03,XX0000000127,AMD,AMD,293.9632,296.4105,285.4004,288.1071,10535442
2021-02-04,XX0000000127,AMD,AMD,288.2592,288.8482,286.0454,286.2813,6901898
2021-02-05,XX0000000127,AMD,AMD,286.9247,294.1911,285.4441,293.5126,10891724
2021-02-08,XX0000000127,AMD,AMD,293.988,296.3578,293.1936,294.7931,18387924
2021-02-09,XX0000000127,AMD,AMD,292.5889,301.5698,290.5881,296.0963,17011912
2021-02-10,XX0000000127,AMD,AMD,295.2268,295.4872,288.8293,293.8193,10197516
2021-02-11,XX0000000127,AMD,AMD,293.9612,299.6079,292.7616,296.1994,16492433
2021-02-12,XX0000000127,AMD,AMD,295.4192,296.2105,292.0707,292.5934,7498427
2021-02-15,XX0000000127,AMD,AMD,292.6288,294.4792,288.8099,293.744,8879028
2021-02-16,XX0000000127,AMD,AMD,291.6546,302.8076,291.445,302.298,8214376
2021-02-17,XX0000000127,AMD,AMD,298.1912,308.5016,297.0995,307.3957,6258642
2021-02-18,XX0000000127,AMD,AMD,307.4133,318.0436,304.5332,316.6406,10317941
2021-02-19,XX0000000127,AMD,AMD,313.8471,315.3075,312.2593,314.5722,11537963
2021-02-22,XX0000000127,AMD,AMD,312.8865,319.5249,311.2108,319.2969,6023033
2021-02-23,XX0000000127,AMD,AMD,321.0755,322.3857,314.3417,316.8361,14800296
2021-02-24,XX0000000127,AMD,AMD,319.7597,322.0515,315.0707,316.5903,11474371
2021-02-25,XX0000000127,AMD,AMD,315.6204,322.5188,312.885,320.9201,16066305
2021-02-26,XX0000000127,AMD,AMD,323.2472,325.2449,315.6423,315.729,13239384
2021-03-01,XX0000000127,AMD,AMD,314.2386,325.0788,309.0267,323.8549,13207532
2021-03-02,XX0000000127,AMD,AMD,323.1863,327.1975,320.8854,327.1353,10330386
2021-03-03,XX0000000127,AMD,AMD,326.2822,346.0478,324.4214,341.2478,12019414
2021-03-04,XX0000000127,AMD,AMD,339.3904,360.7342,336.8348,353.9197,7402078
2021-03-05,XX0000000127,AMD,AMD,354.0776,360.3108,343.947,344.5358,8306580
2021-03-08,XX0000000127,AMD,AMD,342.9594,347.5013,337.189,344.3393,9762990
2021-03-09,XX0000000127,AMD,AMD,344.71,345.8736,336.7468,339.7237,12579646
2021-03-10,XX0000000127,AMD,AMD,341.5669,342.3843,338.6862,339.4216,10267172
2021-03-11,XX0000000127,AMD,AMD,339.9326,342.9944,337.8733,339.1876,9342271
2021-03-12,XX0000000127,AMD,AMD,341.7654,346.9661,339.291,342.0295,7755707
2021-03-15,XX0000000127,AMD,AMD,343.7406,344.6651,335.8905,338.3667,13986292
2021-03-16,XX0000000127,AMD,AMD,337.577,339.0091,336.8361,337.5834,10699344
2021-03-17,XX0000000127,AMD,AMD,335.6515,336.1932,327.4901,333.9927,10225395
2021-03-18,XX0000000127,AMD,AMD,334.0337,343.4783,329.8352,342.6838,14044754
2021-03-19,XX0000000127,AMD,AMD,343.0747,346.7726,320.652,325.3418,13874375
